"";"Row";"z.value";"posterior";"local.fdr"
"ENSG00000169248";3330;12,6361418584948;1;0
"ENSG00000152578";5495;-12,6280010718984;1;0
"ENSG00000163545";8562;12,6098460795506;1;0
"ENSG00000163808";6649;12,5958838041931;1;0
"ENSG00000186642";8987;-12,58978331013;1;0
"ENSG00000155970";4015;-12,5736511396141;1;0
"ENSG00000134201";5547;-12,5326089946816;1;0
"ENSG00000182463";13130;-12,5312521058678;1;0
"ENSG00000100307";2232;-12,5085171609354;1;0
"ENSG00000198937";1922;12,4903749482928;1;0
"ENSG00000215784";4609;12,4713942790798;1;0
"ENSG00000157152";12170;-12,4460333325284;1;0
"ENSG00000172201";6030;-12,4429276964096;1;0
"ENSG00000138131";7043;-12,4266009770341;1;0
"ENSG00000170271";1909;-12,4207567816122;1;0
"ENSG00000160307";10821;-12,4201106938728;1;0
"ENSG00000176092";376;12,3708324727692;1;0
"ENSG00000109846";3202;-12,3601087189099;1;0
"ENSG00000158966";2081;-12,3560373260821;1;0
"ENSG00000122966";2828;12,3511280288068;1;0
"ENSG00000125355";4602;-12,3486007177105;1;0
"ENSG00000154920";4155;12,3420774033631;1;0
"ENSG00000121621";6652;12,3410186125485;1;0
"ENSG00000122591";4452;-12,3238812738908;1;0
"ENSG00000164488";3430;-12,3130581165471;1;0
"ENSG00000000005";12883;-12,3086250947355;1;0
"ENSG00000173432";10828;-12,3050952119071;1;0
"ENSG00000184661";2546;12,3048438479341;1;0
"ENSG00000129195";4595;12,2798851547911;1;0
"ENSG00000013810";12215;12,2765237041422;1;0
"ENSG00000013297";2854;-12,2585245550585;1;0
"ENSG00000076555";112;-12,2577799584722;1;0
"ENSG00000154856";654;-12,2093148111536;1;0
"ENSG00000004776";5980;-12,2074594858694;1;0
"ENSG00000154258";49;-12,1998396036211;1;0
"ENSG00000116678";6909;-12,17449525915;1;0
"ENSG00000113578";4794;-12,1712885659001;1;0
"ENSG00000141404";5288;-12,1685419182816;1;0
"ENSG00000181856";11461;-12,1645542185244;1;0
"ENSG00000138685";4795;-12,144327272182;1;0
"ENSG00000137070";6124;-12,1261732105463;1;0
"ENSG00000134057";2386;12,1203562620309;1;0
"ENSG00000170323";4391;-12,1073960334651;1;0
"ENSG00000135218";2471;-12,0917599966379;1;0
